title,lifetime_gross,year
War Party,657190,1989
SubUrbia,656747,1997
Terri,655802,2011
The Decalogue,655720,2000
Heroes (2008),655538,2008
Another Gay Movie,654132,2006
Wilson,653951,2017
Parkland,653651,2013
Lassie (2006),652163,2006
L'Enfant (The Child),651941,2006
Aarakshan (Reservation),651096,2011
El Jeremias,650465,2016
Jaan-E-Mann,650000,2006
Jodorowsky's Dune,647280,2014
Japanese Story,647054,2003
Hasee Toh Phasee,646035,2014
Saraband,645634,2005
Focus,645418,2001
Frank,645186,2014
2008 Oscar Shorts,644635,2009
Da,644532,1988
Dil Bole Hadippa! (My Heart Goes Hooray),644046,2009
Into the Sun,641886,1991
Five Days from Home,641768,1979
Holy Motors,641100,2012
Journey from the Fall,641039,2007
City of Gold,640979,2016
Purple Moon (Re-issue),640945,1960
Dust to Glory,640013,2005
The Monster,638645,1996
The Wild Bunch,638641,1969
POM Wonderful Presents: The Greatest Movie Ever Sold,638476,2011
Dinner Rush,638227,2001
We Are Family,638144,2010
Blow Dry,637769,2001
The Stoning of Soraya M.,637421,2009
Dice Rules,637327,1991
One from the Heart,636796,1982
The Virginity Hit,636706,2010
Fugitive Pieces,635783,2008
Moliere,635733,2007
My Life So Far,635620,1999
Goya in Bordeaux,635361,2000
The Last Lions,635325,2011
Ride with the Devil,635096,1999
Pere et Fils,634968,2003
2 Days in New York,633210,2012
Grey Owl,632617,1999
The Assassin,632542,2015
Embrace: The Documentary,629126,2016
Pumping Iron 2: The Women,628050,1985
"The Prize Winner of Defiance, Ohio",627844,2005
Amreeka,627436,2009
Red Cliff,627047,2009
Taxi 2,626164,2000
Johnny Stecchino,626057,1992
The House of Yes,626057,1997
Son of the Bride,624757,2002
Wuthering Heights (Re-issue),624643,1989
The Only Living Boy in New York,624332,2017
Character,623983,1998
A Secret,623558,2008
"Kumiko, The Treasure Hunter",623383,2015
Texas Rangers (2001),623374,2001
Spike of Bensonhurst,623112,1988
It's My Party,622503,1996
Ajami,622403,2010
Sunday Lovers,621931,1981
Range 15,621738,2016
Cronos,621392,1994
Mary Kom,621300,2014
L.O.C. (Kargil),621103,2003
The Passenger,620155,1975
Guinevere,619511,1999
Agora,619423,2010
Vincere,619162,2010
Foxtrot,618883,2018
Fever Pitch (1985),618847,1985
The Miseducation of Cameron Post,618730,2018
Cage,618178,1988
The Third Man,618173,1949
I Served the King of England,617403,2008
Howl,617334,2010
The Celestine Prophecy,617236,2006
The Bronze,615816,2016
Finding Fanny,615691,2014
Going Upriver: The Long War of John Kerry,614138,2004
Tickled,613956,2016
Brothers: Blood Against Blood,613775,2015
The Hunt,613308,2013
Queens Logic,612781,1991
Walking the Camino: Six Ways to Santiago,612717,2013
The Filth and the Fury,612192,2000
Le Havre,611709,2011
Leolo,611703,1993
Everlasting Moments,610825,2009
Not Fade Away,610792,2012
The Return of Superfly,610402,1990
Henry: Portrait of a Serial Killer,609939,1990
Deception (1993),608866,1993
Welcome to Me,608852,2015
Gunner Palace,607844,2005
Itzhak,607290,2018
Below,605562,2002
Blue Collar Comedy Tour,604856,2003
Modern Girls,604849,1986
Tatie Danielle,604624,1991
Love Serenade,604523,1997
Jaane Tu Ya Jaane Na,604037,2008
Mean Creek,603951,2004
Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights - From Hollywood to the Heartland,603894,2008
The Midwife,603582,2017
The Holy Land,603520,2003
Girl from Monaco,602992,2009
The Advocate,602329,1994
Orgazmo,602302,1998
Knights of the City,601451,1986
The Signal (2014),600896,2014
Chungking Express,600200,1996
Code Name: Wild Geese,600000,1986
Heroine,598668,2012
Swept Away,598645,2002
Road Scholar,597564,1993
Master,597251,2016
Fiza,596591,2000
Where the Rivers Flow North,595505,1994
Schultze Gets the Blues,595071,2005
Blue Like Jazz,595018,2012
Les Rivieres Pourpres (The Crimson Rivers),594966,2001
"Lo and Behold, Reveries of the Connected World",594912,2016
Battle of Memories,594552,2017
Not One Less,592586,2000
La Promesse,592543,1997
Tarnation,592014,2004
Night of the Creeps,591366,1986
Last Night (1999),591165,1999
The Third Miracle,591142,1999
"Peace, Love and Misunderstanding",590700,2012
Refugee,590000,2000
Prefontaine,589304,1997
Powaqqatsi,589244,1988
Twelfth Night,588621,1996
Phir Bhi Dil Hain Hindustani,588606,2000
Khakee,587877,2004
Elvis On Tour 75th Anniversary,587818,2010
The Disappearance of Eleanor Rigby,587774,2014
A Time for Drunken Horses,587654,2000
To The Wonder,587615,2013
Thunderstruck,587211,2012
Pound Puppies and the Legend of Big Paw,586938,1988
Gloomy Sunday,585604,2003
The Opportunists,584054,2000
The Wolf at the Door,583800,1987
Kurosawa & Mifune Festival,583712,2002
Gleason,583664,2016
Salinger,583633,2013
W.E.,583455,2012
Forgive Me Father,582787,2001
The Pope Must Die(t),582510,1991
All Good Things,582024,2010
Lootera,581813,2013
The Island (2018),581544,2018
"War, Inc.",580862,2008
Novitiate,580346,2017
The Search for Signs of Intelligent Life in the Universe,579854,1991
Viva Pedro! (Almodovar festival),579539,2006
Detective Byomkesh Bakshy,579055,2015
Tibet: Cry of the Snow Lion,578241,2003
Overexposed,577701,1990
Dhobi Ghat (Mumbai Diaries),576639,2011
The Maid,576608,2009
House (2008),575048,2008
Rosalie Goes Shopping,574080,1990
Bar Girls,573953,1995
Wild Orchid 2,573904,1992
Freeheld,573335,2015
Deceiver,572433,1998
A Tale of Love and Darkness,572212,2016
Yuvvraaj,570090,2008
Lemon Tree,569672,2009
Tommy's Honour,569306,2017
Back in Time (Congcong Nanian),569280,2014
Down in the Valley,568932,2006
Tunnel,568876,2016
My First Mister,568762,2001
The Future,568662,2011
La Danse: Le Ballet de L'Opera de Paris,567493,2009
Loveless (2018),566356,2018
Knight of Cups,566006,2016
The Weather Underground,564632,2003
Touch of Pink,564535,2004
Dum Maaro Dum,564489,2011
Help! I'm a Fish,563911,2003
Poolhall Junkies,563711,2003
Hands on a Hard Body,563482,1998
The Fluffer,563373,2001
Nobody's Fool (1986),563358,1986
Undefeated (2012),562218,2012
Steel Dawn,562187,1987
Code Name: Emerald,561548,1985
Harry & Snowman,561460,2016
Museum Hours,561457,2013
When Marnie Was There,561085,2015
Rich Girl,561000,1991
Cold War 2,560824,2016
Jimmy's Hall,560592,2015
Tamara Drewe,560391,2010
Bottle Rocket,560069,1996
The Grass Harp,559771,1996
Twilight Samurai,559765,2004
A Little Chaos,558173,2015
Romance and Cigarettes,557471,2007
Bitter Harvest,557241,2017
The Attorney,557236,2014
Samaritan's Purse: Facing Darkness (Encore),555533,2017
The Italian,555436,2007
Dolores,555309,2017
The Greatest Miracle,555166,2011
Reprise,554826,2008
American Violet,554434,2009
Love Me If You Dare,553504,2004
Palindromes,553368,2005
Akira,553171,1989
The Reluctant Fundamentalist,552959,2013
Mesrine: Killer Instinct,551697,2010
Mother (2010),551509,2010
The Final Cut,551281,2004
Ondine,550472,2010
All the Real Girls,549666,2003
The Lost Medallion,549632,2013
23 Blast,549185,2014
Vicky Donor,549001,2012
From Mexico with Love,548787,2009
Amazon Women on the Moon,548696,1987
Commandments,548561,1997
We Have a Pope,548115,2012
Beyond the Reef,547525,1981
Devil in the Flesh,546904,1987
Heavy Metal (re-issue),546545,1996
Changing Times,545255,2006
A Map of the World,544965,1999
Jet Lag,544964,2003
The Art of the Steal,544890,2010
American Pastoral,544098,2016
Love & Sex,543896,2000
Dream with the Fishes,543708,1997
Double Dhamaal,543646,2011
Facing Windows,543354,2004
Winter in Wartime,543100,2011
The Ballad of Little Jo,543091,1993
On Any Sunday: The Next Chapter,543044,2014
Love and Human Remains,542985,1995
Joshua: Then and Now,542420,1985
Jack Goes Boating,541992,2010
Khatta Meetha,541904,2010
The Age of Shadows,541719,2016
20 Dates,541636,1999
Strike It Rich,541626,1990
Broken English (1997),541377,1997
Passionada,540833,2003
Nobel Son,540382,2008
Being Flynn,540152,2012
Buster,540000,1988
Max,539879,2002
Love Crime,539792,2011
The House of Sand,539285,2006
Machine Gun Preacher,538690,2011
Tom and Viv,538534,1994
By the Sea,538460,2015
Clockwatchers,537948,1998
Kids in America,537667,2005
Incident at Oglala,536848,1992
The Young Poisoner's Handbook,536825,1996
Eddie and the Cruisers II,536508,1989
The Underneath,536023,1995
Shall We Kiss?,535499,2009
Cattle Annie and Little Britches,534816,1981
Hard Country,534653,1981
Gabbar is Back,534601,2015
Ai Weiwei: Never Sorry,534100,2012
Traveller,534010,1997
Wild Man Blues,533759,1998
Masked and Anonymous,533569,2003
Bread and Roses,533479,2001
Hangin' with the Homeboys,532933,1991
Noah's Arc: Jumping the Broom,532878,2008
Brigsby Bear,532669,2017
Boys Life 2,532654,1997
Gabbeh,532629,1997
Funny Bones,532268,1995
Where Do We Go Now?,531997,2012
Our Little Sister (Canadian),531996,2015
Standing Ovation,531806,2010
Mademoiselle Chambon,531685,2010
Sex Is...,530833,1993
"Sex, Drugs, Rock and Roll",530392,1991
Things to Do in Denver When You're Dead,529766,1995
Highway (2014),529136,2014
Fitoor,528799,2016
The Man From Nowhere,528175,2010
Human Flow,527845,2017
The First Monday in May,527474,2016
Veer (2010),527193,2010
A Great Day in Harlem,527034,1995
National Lampoon's Gold Diggers,527000,2004
Scandalous,526805,1984
Willy Wonka and the Chocolate Factory,526633,1971
The Innocent,525955,1995
Our Lady of the Assassins,525330,2001
Fireworks (2018),525280,2018
Still Crazy,524864,1999
Proof,524668,1992
The Last - Naruto the Movie,524451,2015
Weavers: Wasn't That a Time,524203,1982
Dom Hemingway,523511,2014
The Myth of Fingerprints,523025,1997
Shaandaar,521794,2015
JONAH - On Stage!,520496,2017
Trouble the Water,520151,2008
Man on Fire (1987),519596,1987
Fairy Tail: Dragon Cry,519461,2017
Death of a President,519086,2006
"Thelonious Monk: Straight, No Chaser",518918,1989
Tetro,518522,2009
Scatter My Ashes at Bergdorf's,518342,2013
Even the Rain,518017,2011
Leo and Loree,517988,1980
The Grey Zone,517872,2002
A Guide to Recognizing Your Saints,517809,2006
Madison,517262,2005
Black Panthers: Vanguard of the Revolution,516893,2015
The Trials of Henry Kissinger,516726,2002
Voyager,516517,1992
Rhapsody in August,516431,1991
Boys,516349,1996
Ghost in the Shell,515905,1996
The Face Reader,515876,2013
Preacher's Kid,515065,2010
A Hard Day's Night (2014 re-release),515005,2014
Raw (2017),514870,2017
Federal Hill,514775,1994
The Names of Love,514237,2011
The One I Love,513447,2014
Big Eden,512451,2001
Mifune,512434,2000
The Assault,512403,1986
Safe,512245,1995
The Eye (2003),512049,2003
Unsullied,510957,2016
The Tall Guy,510712,1990
Shut Up and Play the Hits,510334,2012
Tracks (2014),510007,2014
Karmina 2: L'enfer de Chabot,508969,2001
Creature (2011),508714,2011
2007 Academy Award Nominated Short Films,508695,2008
Mr. Death,507941,1999
The Two Faces of January,507463,2014
Our President,507268,2017
Travellers and Magicians,506793,2005
Manna from Heaven,505675,2002
Pippi Longstocking,505335,1997
Blizzard,504600,2003
The Return,504256,2004
Heartbreaker,504030,2010
Girlstown,503667,1996
Manny amd Lo,502313,1996
Deli Man,502294,2015
Dream Lover,502237,1986
Cube,501818,1998
Bride Flight,501360,2011
Alice et Martin,500896,2000
The Killing Time,500283,1987
Fireworks,500000,1998
Delicacy,498584,2012
Peggy Guggenheim Art Addict,498428,2015
Befikre,498000,2016
Marguerite,497323,2016
Taxi 3,497208,2003
The Five Senses,497091,2000
Mere Brother Ki Dulhan,496172,2011
Bent,496059,1997
Uncle Joe Shannon,494797,1978
The Inevitable Defeat of Mister and Pete,494608,2013
Steve Jobs: The Man in the Machine,494506,2015
L'Incomparable Mademoiselle C.,493905,2004
The City of Your Final Destination,493296,2010
Man of Iron,492035,1981
A Girl Walks Home Alone at Night,491910,2014
Bilal: A New Breed of Hero,490973,2018
The Boy and the Beast,490643,2016
Tape,490475,2001
Kismat Konnection,490154,2008
Breathe (2017),490131,2017
Phantom (2015),489984,2015
Shaolin Soccer,489600,2004
Saint Ralph,489389,2005
Bonneville,488393,2008
The Browning Version,487391,1994
Krazzy 4,487215,2008
Act of Killing,486919,2013
Paranoid Park,486767,2008
September,486434,1987
Meet the Applegates,485772,1991
Once Upon A Time,485728,2017
Umrao Jaan,485000,2006
Weekend (2011),484592,2011
Aaja Nachle,484108,2007
Strayed,482757,2004
Joshua,482355,2007
Somewhere Only We Know,482341,2015
Little Ashes,481586,2009
Flamenco,480941,1997
DOA: Dead or Alive,480813,2007
Bully,480811,2001
Crossing the Bridge,479676,1992
Elvis: '68 Comeback Special (2018 release),479404,2018
Just Another Girl on the IRT,479169,1993
Nine Lives,478830,2005
Queen to Play,478710,2011
Brotherly Love,478595,2015
The Last September,478053,2000
Casa de Los Babys,478031,2003
Wiener-Dog,477453,2016
The Baader Meinhof Complex,476270,2009
Bhoothnath,476032,2008
Confidential Assignment,475618,2017
Drona,475104,2008
Plunkett and Macleane,474900,1999
Detective Chinatown (Tang ren jie tan an),474252,2016
Beach Rats,473771,2017
Party Girl,472370,1995
Artie Lange's Beer League,472185,2006
The Flat,471842,2012
Duckweed,471575,2017
Pearl Jam Twenty,471334,2011
The Affair of the Necklace,471210,2001
About Elly,470760,2015
JCVD,470691,2008
Kelly,469777,1981
A Midwinter's Tale,469571,1996
"Maybe, Maybe Not",468930,1996
Steamboy,468867,2005
Joe Gould's Secret,468684,2000
DCI 2017 Tour Premeire,467817,2017
Submarine,467602,2011
Phillauri,467596,2017
The Housekeeper,467288,2003
Tully,466664,2002
Luck-Key,466505,2016
La Ligne brisee,466309,2008
Last Days in Vietnam,466114,2014
Blue Car,465310,2003
Venus Beauty Institute,465080,2000
Church Ball,464991,2006
Colonel Chabert,464284,1994
The Last Shot,464275,2004
Slaves of New York,463972,1989
The Second Chance,463542,2006
Thank You (2011),463540,2011
Last Days,463080,2005
Romeo & Juliet: Sealed with a Kiss,463002,2006
Let's Get Married,462918,2015
Final Portrait,461972,2018
The Flight of the Red Balloon,461674,2008
Outfoxed: Rupert Murdoch's War on Journalism,461572,2004
Foolproof,460978,2003
Rififi,460226,1956
Detective Dee and the Mystery of the Phantom Flame,459836,2011
The House on Carroll Street,459824,1988
The Last Supper,459749,1996
The Stone Angel,459166,2008
Brooklyn Rules,458232,2007
New World (2013),457806,2013
Tashan,457380,2008
Chasing the Dragon,456854,2017
McBain,456127,1991
Crossing Over,455654,2009
Rain,455164,2002
The Legend of Suriyothai,454736,2003
Circumstance,454121,2011
The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,453993,2010
Beautifully Broken,453605,2018
Lucky,453507,2005
The Extra Man,453377,2010
Only Yesterday (2016 re-release),453243,2016
Sailor Moon R: The Movie,452053,2017
Day Watch,450897,2007
Full Moon in Blue Water,450726,1988
Bombay Velvet,450692,2015
Brother,450594,2001
Danzon,450501,1992
Bitter Sugar,450060,1996
The Damned United,449865,2009
"The Wonderful, Horrible Life of Leni Riefenstahl",449707,1994
Attack on Titan: Part 1,449523,2015
Lockdown,449482,2003
The Third Man (2015 re-release),449191,2015
Time Out,448542,2002
Bachelorette,447954,2012
Condorito: La Pelicula,447719,2018
Felix and Meira,447353,2015
The Triumph of Love,447267,2002
Callas Forever,446955,2004
Wristcutters: A Love Story,446165,2007
I Am Trying to Break Your Heart,445522,2002
The Heart of the Game,445374,2006
The Way Home,445367,2002
Fast Charlie... the Moonbeam Rider,444334,1979
In Secret,444179,2014
Upstream Color,444098,2013
Idiocracy,444093,2006
The Rainbow,444055,1989
Song to Song,443684,2017
The Hammer,443591,2008
Merci Pour le Chocolat,443238,2002
Nadja,443169,1995
Gypsy Caravan,442936,2007
The Beautiful Country,442813,2005
Especially on Sunday,442676,1993
"'Night, Mother",441863,1986
The Town Is Quiet,441664,2001
Morons from Outer Space,441137,1985
Don't Come Knocking,440793,2006
Gimme Danger,440627,2016
The Circle,440554,2001
No One Killed Jessica,440525,2011
Sketches of Frank Gehry,439309,2006
Baaghi,438207,2016
Mishima: A Life in Four Chapters,437547,1985
I Am Not Madame Bovary,436798,2016
Savage Grace,435746,2008
Head-On (Gegen die Wand),435395,2005
Vision,435274,2010
Land of Mine,435266,2016
Ferrari Ki Sawaari,434107,2012
Rosenwald,433924,2015
I Want Your Money,433588,2010
When Do We Eat?,431513,2006
But Always (Yi Sheng Yi Shi),430760,2014
Just the Ticket,430404,1999
Saint Laurent,429477,2015
Track 29,429028,1988
Body Snatchers,428868,1994
Beijing Love Story,428318,2014
Break Ke Baad,427628,2010
Cold in July,427418,2014
If You Are the One 2 (Fei Cheng Wu Rao II),426894,2010
The Hard Word,426880,2003
The Singing Revolution,426855,2007
The Limits of Control,426688,2009
Josh,426318,2000
Listen to Me Marlon,425831,2015
Conversations with God,425045,2006
Earth (1999),424798,1999
Drowning by Numbers,424773,1991
Primer,424760,2004
8 1/2 Women,424123,2000
One Piece Film: Gold,423593,2017
Sound City,422853,2013
Tiger Warsaw,422667,1988
Storyville,422503,1992
She's Beautiful When She's Angry,421573,2014
Porn Star: The Legend of Ron Jeremy,421516,2001
Broken Wings,421454,2004
The Last Days,421432,1999
Divine Intervention (2003),421343,2003
Lymelife,421307,2009
The Good Father,421201,1987
Heart of a Dog,420813,2015
Baise-Moi,420224,2000
Voiceless,419952,2016
Killing Zoe,418961,1994
El Crimen Perfecto,418843,2005
True Colors,418807,1991
The OH in Ohio,418689,2006
The Eel,418480,1998
The German Doctor,418392,2014
Aloha Summer,418379,1988
Seraphim Falls,418296,2007
The Witness (Wo shi zheng ren),418063,2015
How to Get Ahead in Advertising,418053,1989
"My Son, the Fanatic",417683,1999
In the Realms of the Unreal,417120,2004
Interview,416951,2007
The Believer,416925,2002
The Eighth Day,416401,1997
Desert Bloom,416393,1986
The Pirates,415775,2014
A Hijacking,414437,2013
CQ,414358,2002
Wonderland (2000),414254,2000
Grand Masti,413903,2013
3 Ninjas Knuckle Up,413479,1995
1998 Bugs Bunny Film Festival,413076,1998
Godzilla (Original Japanese Version),412520,2004
Seeking Justice,411746,2012
Tuvalu,411678,2001
Bag of Marbles,411318,2018
Project Nim,411184,2011
Spun,411119,2003
Number One with a Bullet,410952,1987
Phata Poster Nikla Hero,410526,2013
Janis: Little Girl Blue,410465,2015
Unbranded,410185,2015
A Gentleman,410055,2017
Hawayein,409978,2003
A Girl Cut in Two,409658,2008
Mobsters and Mormons,409604,2005
Badlapur,409166,2015
Jude,409144,1996
I'm Still Here,408983,2010
Triumph of the Spirit,408839,1989
The Promotion,408709,2008
The 5th Quarter,408159,2011
Sound of My Voice,408015,2012
"Love, Kennedy",407871,2017
Journey to Shiloh,407500,1968
Humpday,407377,2009
Slamdance,406881,1987
Chasing Trane: The John Coltrane Documentary,406284,2017
Har dil jo Pyar Karega,406235,2000
The Square,406116,2010
The Hunting Ground,405917,2015
Little Secrets,405792,2002
Amandla!,405331,2003
Preaching to the Choir,405191,2006
Intimacy,405094,2001
Killer of Sheep (re-issue),404508,2007
Antichrist,404122,2009
Wild Grass,403952,2010
Mother Night,403701,1996
A Wake in Providence,403069,2005
La Belle Noiseuse,403056,1991
Snow Angels,402858,2008
The Apu Trilogy,402723,2015
The School of Flesh,402668,1999
The Little Traitor,402088,2009
Pariah (2000),402000,2000
Some Girls,401421,1988
Freetown,401328,2015
Dillagi,401245,1999
My Life Without Me,400948,2003
The Gospel According to André,400713,2018
Leaning Into The Wind,400530,2018
Jindabyne,400438,2007
Mafioso (re-issue),400019,2007
Bandit Queen,399748,1995
The Mystic Masseur,399110,2002
Head in the Clouds,398278,2004
Transylmania,397641,2009
Four Days in September,397517,1998
Swept from the Sea,397020,1998
"Still, We Believe: The Boston Red Sox Movie",396803,2004
Yes,396760,2005
The Adjuster,396573,1992
Ain't Them Bodies Saints,396519,2013
Golden Gate,395105,1994
Dogfight,394631,1991
Lucie Aubrac,394079,1999
The Holcroft Covenant,393825,1985
Jee Aayun Nu,393117,2002
Hamara Dil Aapke Paas Hai,392076,2000
End of the Century: The Story of the Ramones,391950,2004
Tiny Furniture,391674,2010
Bittersweet Motel,391653,2000
Subway,390659,1985
Where the Day Takes You,390152,1992
Goodbye to Language,390099,2014
Soorma,390077,2018
Detropia,390024,2012
In the House,389757,2013
Search and Destroy,389503,1995
Brothers (2005),389220,2005
House of D,388532,2005
The Last Sin Eater,388390,2007
Things To Come,388140,2016
Touch,387069,1997
The End of Violence,386673,1997
The Wasted Times,386540,2016
The Well-Digger's Daughter,386368,2012
Turtle: The Incredible Journey,386073,2011
Sylvester,385687,1985
Little Manhattan,385373,2005
Where in the World Is Osama Bin Laden?,384955,2008
Steam: Turkish Bath,384793,1998
Rifftrax: Samurai Cop,384756,2017
Dirty Wars,384473,2013
"Scotland, PA",384098,2002
American Heart,384048,1993
Copying Beethoven,384029,2006
Boston: An American Running Story,383868,2017
The Armstrong Lie,383294,2013
Hesher,382946,2011
Swimming with Sharks,382928,1995
Into the Arms of Strangers,382807,2000
Sweet Talker,382510,1991
Tom of Finland,381610,2017
The Quiet,381420,2006
Short Cut to Nirvana: Kumbh Mela,381225,2004
At Any Price,380594,2013
The Syrian Bride,380505,2005
The Wife,380112,2018
Humpty Sharma Ki Dulhania,380011,2014
Khiladi 786,379466,2012
Conversations with Other Women,379418,2006
Introducing the Dwights,379408,2007
Head On,379384,1999
I'll Push You,378899,2017
Streamers,378452,1983
Blind Spot: Hitler's Secretary,378382,2003
Rebel in the Rye,378294,2017
Session 9,378176,2001
Close to Eden,377832,1992
Coming Home (2015),377607,2015
Attack on Titan Season 3,377334,2018
Pride and Prejudice (2003),377271,2003
The Second Mother,376986,2015
Hochelaga,376714,2000
The Hunting of the President,376612,2004
Smashed,376597,2012
Piranha 3DD,376512,2012
The Human Factor,376050,1979
Lajja,376000,2001
Personal Tailor,375892,2013
3 Ninjas: High Noon at Mega Mountain,375805,1998
The Whole Wide World,375757,1996
The Game of Their Lives,375750,2005
Britannia Hospital,375713,1983
Hurricane Streets,375634,1998
Puella Magi Madoka Magica the Movie: Rebellion,375627,2013
Women Who Flirt (Sajiao Nvren),375495,2014
Asylum,375403,2005
Oh Lucy!,375391,2018
Shooting Fish,375261,1998
Fish Tank,374675,2010
Genghis Blues,374550,1999
Grace Jones: Bloodlight and Bami,374494,2018
Annie Brocoli dans les fonds marin,374360,2003
The Decline of Western Civilization Part II: The Metal Years,373743,1988
Venus in Fur,373605,2014
Miral,373420,2011
Joe (2014),373375,2014
Keep the River on Your Right - A Modern Cannibal Tale,373366,2001
Movers and Shakers,372438,1985
Towelhead,372124,2008
The Star Maker,371674,1996
Highwaymen,371396,2004
The Bicycle Thief,371111,1949
Open Your Eyes,370720,1999
Light Years,370698,1988
The Minus Man,370668,1999
Shadowboxer,370627,2006
Nico and Dani,370562,2001
Hava Nagila (The Movie),370218,2013
Me Myself I,369975,2000
Le Cercle Rouge (Re-issue),369970,2003
Shootout at Wadala,369573,2013
Mooz-lum,369129,2011
When Comedy Went to School,369065,2013
Lebanon,368088,2010
The Basket,367098,1999
The Oranges,366377,2012
The Animation Show,366344,2003
The Brown Bunny,366301,2004
She Hate Me,366037,2004
Baadasssss!,365727,2004
Believer,365639,2018
Glen Campbell... I'll Be Me,365422,2014
Mountain,365412,2018
Thoda Pyaar Thoda Magic,365401,2008
Tera Jadoo Chal Gayaa,365318,2000
Palookaville,365284,1996
Katti Batti,364932,2015
Real Life,364642,1979
Deewane Huye Paagal,364357,2005
Nostradamus,364164,1994
The Toxic Avenger Part III: The Last Temptation of Toxie,363561,1989
The Adventures of Felix,363409,2001
Breathless (2010 re-issue),363031,2010
Kung Fu Yoga,362657,2017
The Source,362649,1999
La Riviere aux Castors,360886,2008
I'll Sleep When I'm Dead,360759,2004
Grateful Dawg,360251,2001
Searching,360000,2018
Disney Junior HalloVeen Party,359745,2017
Letters from Baghdad,359735,2017
An Affair of Love,359050,2000
Revolution,358574,1985
Enduring Love,358362,2004
American Ninja 4: The Annihilation,358047,1991
City of Ghosts,357197,2003
Artemisia,356749,1998
Lovelace,356582,2013
Mr. Donkey,356255,2016
Poetry,356149,2011
Trust,356122,1991
Iron and Silk,356077,1991
Luck by Chance,356019,2009
Omar,356000,2014
Ok Jaanu,355922,2017
The Lady,355391,2012
Eat That Question: Frank Zappa in His Own Words,355074,2016
My Name Is Joe,354952,1999
Buffalo Soldiers,354421,2003
Love Is the Devil,354004,1998
Broadway: The Golden Age,353580,2004
Branded,353513,2012
Comment Ma Mere Accoucha de Moi Durant,353275,2003
Like Dandelion Dust,352810,2010
Effie Gray,352534,2015
The Princess of Montpensier,352428,2011
Lumumba,352296,2001
Long Strange Trip - The Untold Story of The Grateful Dead,351957,2017
Happy Bhaag Jayegi,351840,2016
Weekend Warriors,351623,1986
"Black Cat, White Cat",351447,1999
Everybody Wants to Be Italian,351416,2008
Kitchen Stories,351235,2004
Tokyo!,351059,2009
Singham,350864,2011
Maps to the Stars,350741,2015
Kahaani 2,350703,2016
Chico & Rita,350524,2012
Summer Heat,350481,1987
L.O.R.D: Legend of Ravaging Dynasties,350456,2016
Since Otar Left,350391,2004
The Face of Love,350006,2014
Wanted (2009),349637,2009
Two Evil Eyes,349618,1991
Marilyn Hotchkiss' Ballroom Dancing & Charm School,349132,2006
Pearl Jam - Let's Play Two,348833,2017
The Merry Gentleman,347977,2009
Teeth,347578,2008
Billy: The Early Years of Billy Graham,347328,2008
Noble,347321,2015
Green Street Hooligans,346830,2005
The Family,346730,1988
The Angels' Share,346669,2013
High-Rise,346472,2016
The Deceivers,346297,1988
The Second Jungle Book: Mowgli and Baloo,346056,1997
A Pyromaniac's Love Story,345972,1995
Prison,345704,1988
Dil Ka Rishtaa,345649,2003
I Think I Do,345478,1998
La Cage aux Folles 3,345280,1986
Kaal,345091,2005
American Adobo,344992,2002
"Juliet, Naked",344602,2018
It Takes Two (1988),344375,1988
Windy City,343890,1984
The United States of Leland,343847,2004
Tapeheads,343786,1988
Canelo vs. Chavez Jr.,343387,2017
Drinking Buddies,343341,2013
Koch,342941,2013
A Werewolf Boy,342922,2012
Sleuth (2007),342895,2007
The Dying Gaul,342747,2005
Le Chef,342667,2014
Talvar,342370,2015
Gori Tere Pyaar Mein,342184,2013
Creation,341323,2010
Les Dangereux,341280,2002
Jellyfish,341221,2008
The Fallen Idol (2006 re-issue),341121,2006
Jimi: All Is By My Side,340911,2014
Total Eclipse,340139,1995
Starbuck (U.S. only),340058,2013
Albino Alligator,339379,1997
Happy People: A Year in the Taiga,338987,2013
Red Hook Summer,338803,2012
Lorna's Silence,338795,2009
Chinese Puzzle,338523,2014
Scotty and the Secret History of Hollywood,338254,2018
Northern Limit Line,337907,2015
Night Game,337812,1989
This Is Not What I Expected,337670,2017
The Private Lives of Pippa Lee,337356,2009
Don't Move,337265,2005
The Singing Detective,337174,2003
Kyon? Ho Gaya Pyu,336909,2004
Dark Obsession,336811,1991
Shaadi No. 1,336772,2005
Welcome to Collinwood,336620,2002
Tout est Parfait,336569,2008
I Origins,336472,2014
Enter the Void,336467,2010
Talent for the Game,336396,1991
Kings of Pastry,336386,2010
Wooly Boys,335726,2004
God's Own Country,335609,2017
Diana,335359,2013
The 2006 Academy Award Nominated Short Films,335090,2007
Frankenstein Unbound,334748,1990
Chup Chup Ke,334618,2006
"Like Father, Like Son (2014)",334616,2014
The Devil and Daniel Johnston,334450,2006
Welcome to Sarajevo,334319,1997
Monument Ave.,333760,1998
The Memory of a Killer,333707,2005
Ballet 422,333554,2015
The Guest (2014),332890,2014
Gabrielle,332829,2006
The Assignment,332597,1997
Zinda,332491,2006
The First Grader,332306,2011
Private Resort,331816,1985
Te3n,331507,2016
Yuva,331166,2004
The Lady and the Duke,331051,2002
Hichki,330279,2018
Lawless Heart,330067,2003
Zelary,330033,2004
Cheech,329972,2006
This Is England,329379,2007
Kissed,329211,1997
Flower,328188,2018
Kaashmora,327959,2016
